Name,Organization,Project
Apoorva Pandey,NumFOCUS,Status Server and Dashboard
Yingbo Ma,NumFOCUS,Stiffness Detection and Automatic Switching Algorithms for OrdinaryDiffEq.jl and Tooling for ModelingToolkit.jl
Marko Mudrinić,Cloud Native Computing Foundation (CNCF),Storage API for Aggregated API Servers
Nikhil Kaushik,Rocket.Chat,Storage integration with Google Drive and/or Dropbox
Shubham Vashisht,JBoss Community,Strimzi - Bridging HTTP to Apache Kafka.
Mankirat Singh,Sugar Labs,Sugarizer Exercise Activity
Iqgik,Sugar Labs,Sugarizer Primero( Sugarizer1)
Aman  Sharma,Sugar Labs,Sugarizer School Box
Oleg Serikov,languagetool.org,"Suggestions sorting improvement, migration to the modern server-side framework, migration from Maven to Gradle"
Sergey Lavrushkin,FFmpeg,Super Resolution Filter
Lakshya Gupta,Open Data Kit,Supervisor app - Device to Device Transfer Android Application
Francesco Gazzetta @fgaz,Haskell.org,Support for Multiple Public Libraries in a .cabal package
Rohan Julka,Apache Software Foundation,Support Groovy implementations in the  Netbeans IDE plugin
Gayan Weerakutti,The Java Pathfinder Team,Support Java 9 for JPF-CORE
rahulworld,OSGeo,Support of Unit Of Measure conversion in istSOS3
Xia Sun,3DTK,Surface Reconstruction Tool for 3DTK
anshumanv,FOSSASIA,SUSI Analytics
Pranita Sharma,NumFOCUS,Synchronize R API with the Python Data Retriever API and improve usability of R package
Guolong Zheng,The Java Pathfinder Team,Synthesis to repair heap-manipulating programs using Java StarFinder
Sombuddha Chakravarty,Systers Community,Sysbot
Samarth Sharma,Joomla!,System Testing For Joomla 4 With Increased Coverage
Anna Zueva,Apertium,Tatar and Bashkir: developing a language pair
Ryan Huang,Seastar,TCP BBR implementation in Seastar
Surya Saini,Digital Impact Alliance,Team management module for MapCampaigner
Anshuman Chhabra,Beam Community,Tensorflex: Tensorflow bindings for the Elixir programming language
Sithe Ncube,The Processing Foundation,Test strategy for maintaining and updating mobile functionality of p5.js
Alexandru Fazakas,GNOME,"Tests, profiling and debug framework for Nautilus"
HRISHIKESH KULKARNI,GNU Compiler Collection (GCC),Textual Representation of LTO Object Files (Textual LTO dump tool project)
Tarun,FOSSASIA,The Meilix Road Block Project
Xu Linyu,openSUSE,The Proposal for Integrating Cloud Pinyin in ibus-libpinyin
Andrew Deloucas,Classical Language Toolkit,The Road to CDLI’s Corpora Integration into CLTK: an Undertaking
Satyam Mittal,CCExtractor Development,The sample platform (/ continuous integration) project
Arushit Mudgal,The Honeynet Project,Thug: Python 3 Port and PyV8 Replacement
Rohit Kaushik,GNOME,To Do: Make Todoist and Todo.txt integration shine
Mikhail Vaganov,NumFOCUS,Tooling for N-body Simulations in Julia
Bakhtiyar Syed,Cuneiform Digital Library Initiative,Towards building the first Semantic Role Labeling system for Sumerian
jellysnake,MovingBlocks,Tower Defence Gameplay Template
Hrishikesh Hiraskar,Haiku,TrackGit
Naveen Jain,AOSSIE - Australian Open Source Software Innovation and Education,TRAINS EMISSION CALCULATION AND BETTER ERROR DETECTION
Nabil Ibtehaz,"Genes, Genomes and Variation",Transcript Comparisons
Sidhant Nagpal,SymPy,"Transforms, Convolution & Linear Recurrence Evaluation"
Vishnunarayan K I,OpenAstronomy,Transition to astropy time
Jude,The ns-3 Network Simulator Project,Trust-based routing protocols framework
Harikrishnan R,The Honeynet Project,Trusted Execution Environment Based Dynamic Analysis on ARM
Jiacheng Lu,Godot Engine,TSCN exporter for Blender
Jorge Pérez,AerospaceResearch.net,"Turning orbitdeterminator into a robust, reliable tool"
sivaramaaa,radare,Type Inference
Daivik Dave,Boston University / XIA,U6ID Principal
Dimitri Vasilkov,ArduPilot,UAVCAN Drivers and Documentation Update
kmurphy4,Apertium,UD-Annotatrix
George Roman,LuaRocks,Unit Tests for LuaRocks
Pedro12909,AerospaceResearch.net,Universal Space Operation Center GUI
Satyendra  Kumar Banjare,LabLua,Update Lua Bindings to LibGit2
Yash Nisar,SPDX,Update Python SPDX library to SPDX 2.1
NAVEEN K M,LibreHealth,Updater for LibreHealth EHR
mmd.ayman,Open Source Robotics Foundation,Upgrade and Improve MoveIt! Setup Assistant integration with Gazebo
Lokesh Kishor Nandanwar,Software and Computational Systems Lab at LMU Munich,"Upgrade of AngularJS, Refactoring UI and automated testing for CPAchecker."
Sourav Sahoo,Public Lab,Upgrade to Rails 5
Victor Alagwu,Inclusive Design Institute,Upgrading AChecker
Dara Akdag,National Resource for Network Biology (NRNB),Upgrading Ontology Tagging at WikiPathways
Abhinav Raj,Pocket Science Lab,Upgrading the PSLab Android Application
Mudit Gupta,TEAMMATES @ National University of Singapore,Usability Hero
Igor Lavrov (LavIgor),phpBB Forum Software,User Mentions
Esther Robb,Space @ Virginia Tech,Using machine learning to improve SuperDARN data classification
Mikhail Y R Gadelha,LLVM Compiler Infrastructure,Using the Z3 SMT Solver to Validate Bugs Reported by the Clang Static Analyzer
Oğuz,Apertium,Uyghur-Turkish MT
Atharva Khandait,mlpack,Variational Autoencoders
SiddharthaRao Kamalakara,CERN-HSF,Variational Autoencoders on GPUs for particle physics applications
Yash Dev Lamba,The Vega Visualization Tools by the UW Interactive Data Lab,Vega-Share
Chinmoy Ranjan Pradhan,KDE Community,Verifying signatures of pdf files
Rodrigo Siqueira,X.org Foundation,Virtual KMS module
tiotsop,CiviCRM LLC,Virtual Machine Templates (Appliances/Boxes) - Making CiviCRM Cloud Native and Docker Friendly
Shantanu Mishra,AerospaceResearch.net,visma - VISualMAth
CristinaMG,RoboComp,Visual Detection Mechanisms in Mobile Robots.
Krystal Maughan,Haskell.org,Visual Tools and Bindings for Debugging in Code World
pranavsid98,Oppia Foundation,Visualizing Learner Playthroughs
Vaibhav Maheshwari,vitrivr,vitrivr App
ToddShepard,VideoLAN,VLC Crashes Server (CrashDragon)
Vibhoothi Anand,VideoLAN,VLC macOS Interface Redesign
Daksh Shah,VideoLAN,VLC macOS interface redesign
Chenrui He,VideoLAN,VLC Qt interface redesign
Mike JS Choi,VideoLAN,VLCKit Testsuite proposal
Soomin Lee,VideoLAN,VLCMediaLibraryKit Integration
Anjali  Dhanuka,Systers Community,Volunteer Management System(VMS)
Tobias Ilte,freifunk,VRConfig - Visual Router Config for OpenWrt
Nathan Gauër,QEMU,Vulkan-ize VirGL
Víctor Fernández,DBpedia,Web application to detect incorrect mappings across DBpedias in different languages
Rishabh Chaudhary,The Libreswan Project,Web based Certificate and Profile User Interface
Parvati,LibreHealth,Web Components using FHIR Resources
Rachit Tibrewal,Mobile Robot Programming Toolkit (MRPT),Web Frameworks Library for MRPT
Kristupas Repečka,UCSC Xena,Web interface to load data into local Xena hub
Olle Lauri Boström,Mozilla,WebAssembly Studio
Jevan Chan,webpack,Webpack dependencies with WebAssembly
Dhruvdutt Jadhav,webpack,webpack-cli: Infrastructure and Automation Work - Dhruvdutt
Brandon Michael Makin,Godot Engine,WebRTC into Godot & Peer-to-Peer multiplayer the Godot way
Flavius Andrei Isac,Joomla!,WebServices Project Proposal
Emmanouil Kirtas,OWASP Foundation,WebSockets Active Scanning
Alper Çakan,VideoLAN,WebVLMC (Remote UI for VLMC)
Rhea Parekh,Zulip,"Widgets and Slash commands Architecture, IRC mirrors, Improving import-export Infrastructure."
psinghal20,Wikimedia Foundation,WikiEducation Dashboard Article Finder Tool
Demetrio Carrara,KDE Community,WikiToLearn production-ready PWA
Tharre,The Linux Foundation,WireGuard Kernel Hacking
"Gauvain ""GovanifY"" R-T",The Linux Foundation,WireGuard Kernel related tasks
Elena Gjevukaj,Debian Project,Wizard/GUI helping students/interns apply and get started
Minkush Jain,Debian Project,Wizard/GUI helping students/interns apply and get started
realslimshanky,Debian Project,Wizard/GUI helping students/interns apply and get started
Siddhartha Gairola,Scilab,Working Demo with Usage Docs for the Mex Module
Victor Perevertkin,ReactOS,Writing bootloader code for booting from BTRFS
