Name,Organization,Project
Omkar Reddy Gojala,pache Software Foundation,NUTCH-2369 Create a new GraphGenerator Tool for writing Nutch Records as a Full Web Graph.
Shunsuke Mie,reeBSD,NVMe controller emulator for bhyve
Abilashini Thiyagarajah,SO2,OAuth 2.0 Dynamic Client Registration Management Protocol support for WSO2 Identity Server
cynicaldevil,ozilla,Off-main thread HTML parsing
vanitasvitae,MPP Standards Foundation,OMEMO encrypted Jingle implementation
Oleksandr Dubenko,RL-CAD,Online Geometry Viewer Update
Rohit Lodha,oftware Product Data Exchange (SPDX),Online SPDX Tool
Aleksandr Lisianoi,oftware Product Data Exchange (SPDX),Online Validation Tools
Hitesh Garg,pen States,Open Civic Data Admin Tools
sadboy,OSSASIA,Open Event Format in other Open Source Event Apps
Abhinav Khare,OSSASIA,Open Event Frontend -Design the new frontend and integrate it with the API
Areeb Jamal,OSSASIA,Open Event Orga Android App Development
mejariamol,OSSASIA,Open Event Organizer Android Application
Xiongtao Chen,pen Detection,Opendetection - Improving the Framework for CNNs for 2D Detection
Shehan Weerakkody,ustainable Computing Research Group ( SCoRe ),OpenDF - Image annotation and describe module
Aashay Singhal,cilab,OpenFOAM
MENGHE ZHANG,ational Resource for Network Biology (NRNB),OpenGL-accelerated Renderer for Cytoscape 3
Priya Pappachan,ustainable Computing Research Group ( SCoRe ),OpenIoE - Implement bidirectional publish-subscribe behaviour
Leonardo José Consoni,cilab,OpenModelica Integration
DefCon,penMRS,OpenMRS Android Client
Hao Xu,penMRS,OpenMRS Android Client Feature Parity and Improvements
Shivang Nagaria,penMRS,OpenMRS Data Integrity Module Improvement
Ankitkumar94,penMRS,OpenMRS OWA Generator Improvement
Achinthya,ustainable Computing Research Group ( SCoRe ),OpenPub Publication Manager
Rohith A. S. R. K.,penWISP,OpenWISP 2 Network topology
Johannes Wegener,reifunk,OpenWRT/LEDE Configuration Management
Chanuka Wijayakoon,penMRS,Operation Theater Module Workflow Enhancements
mb706, project for statistical computing,Operator Based Machine Learning Pipeline Construction
Vitalii Drohan,ERN-HSF,Optimisation of GeantV HPC workload balancing
Mohd Sharique,oost C++ Libraries,Optimising Multiplication in uBLAS
KrishnaKanhaiya,he Julia Language,Optimization and Bayesian Techniques for the parameter estimation of Differential Equations
Jan Taljaard,he Java Pathfinder Team,Optimize GREEN’s caching for satisfiability and model counting when using SPF
Yeonju Ro,owRISC,ORAM interface for RISC-V systems
Nilesh Chaturvedi,erospaceResearch.net,Orbit Position Data Analysis and Interpolation
Anubhav,ono Project,Overhaul MonoDevelop C/C++ Addin
Noveen Sachdeva,wnCloud,ownCloud as a backend for web apps
Cristobal Valenzuela,he Processing Foundation,p5.js addon and examples for spatial and data mapping.
Zachary Rispoli,he Processing Foundation,p5.js Web Editor:  Public Release and Online Community Building
Jeevan Farias,he Processing Foundation,"p5.js.Sound Enhancements - Abstract Classes, Sound Design, and Composition"
Abhik Pal,he Processing Foundation,p5: Bringing the Processing API to Python
Kartik Sibal,boutCode,Package Vulnerability Data Feed & Scanner
Alan Cleary,pen Genome Informatics,Pan-Genome Module for the Genome Context Viewer
Divyansh,he Julia Language,Parallel Graph development
Shikhar Bhardwaj,lpack,Parallel stochastic optimization methods
Kenta Sato (bicycle1885),he Julia Language,Parallelism in Bio.jl
Qingyue Xu, project for statistical computing,Parser and Crawler for Biodiversity checklists
Ben Vaitkevicius,abLua,Parser Generator
Kurt Kremitzki,RL-CAD,Part Design Workbench Refinement
Lahiru Jayathilake,penMRS,Patient Matching 2.0
Sahil Budhwar,edora Project,Patternfly Frontend Pattern Development
S J Rajath Krishna,"ysters, an Anita Borg Institute community",PC Prep Kit
Shreyans Shrimal,"ysters, an Anita Borg Institute community",PC-Prep-Kit
aniarya82,pen Genome Informatics,Performance and user-centric upgrade to Afra
Alperen Karaoglu,erformance Co-Pilot,Performance Co-Pilot Project Proposal: Blocked process detection and reporting
John Yong,EAMMATES @ National University of Singapore,Performance Hero
Samuel Holland,he Linux Foundation,Performance Optimization / Android Interface
squimrel,edora Project,Persistent storage for the Fedora Media Writer
Anant Prasad,OSSASIA,Phimpme Android Project
Mohit Manuja,OSSASIA,Phimpme Image App Proposal
Nan Yang,penCV,Photometric Calibration
Nihal N,apian Search Engine Library,PHP Bindings Improvement
Mohammad Kayali,hysical Web Project,Physical Web Museum Backend
Swastik Garg,ovingBlocks,Physics-based Combat System
samj1912,etaBrainz Foundation Inc.,Picard v2.0
Jente Hidskes,.Org Foundation,"Piper, gaming mice configuration"
Stefan-Adrian Popa,NOME,Pitivi - UI for the Ken-Burns effect
suhas2go,NOME,Pitivi: Color correction interface using three chromatic wheels
MWrana,ational Resource for Network Biology (NRNB),PiType: A Protein Interaction Prediction Cytoscape App
Noel Varghese,lone Foundation,Plone as a Progressive Web App
Yash D. Saraf,boutCode,Plugin architecture for ScanCode
Chinmoy,DE,Polkit Support in KIO
Sisinda Dinusha,pache Software Foundation,Port Apache SIS to Android
Gautham Goli,omebrew,Port brew audit rules to RuboCop
Dayanne Fernandes,eeWare Project,"Port Cricket to use Toga, instead of Tkinter"
Gustavo Mora,pache Software Foundation,Port Marmotta to Eclipse RDF4J
Utkarsh Bansal,umFOCUS,Port to pytest
Mbeh,eam Community,Port Zotonic Shell Scripts to Erlang EScript.
Pushpak Sarkar, project for statistical computing,Portfolio Construction and Risk Management with Unequal Returns Histories
Joan Lledó,icrokernel devroom,Porting LwIP to the GNU/Hurd
Nikita Korobov,icrokernel devroom,Porting MINIX3 to Raspberry Pi
Joefish,cummVM,Porting Mission Supernova
Mauricio Pedro Vieira,abLua,Porting Terra to Android Devices
Kumar Prasun (KP),penAstronomy,Porting the IDL Astronomy User's Library to Julia
Joseph Calvin Hill,aiku,Porting the Swift Programming Language to Haiku
Aditya Upadhyay,TEMS Project,POSIX Compliance
Kim Huynh,"ysters, an Anita Borg Institute community",PowerUp UI/UX & Graphics Update
Sachin Aggarwal,"ysters, an Anita Borg Institute community",PowerUp-Android
Yu Chao (casd82),"ysters, an Anita Borg Institute community",PowerUp-iOS
Stefan Venz,reifunk,Powquty Live-Log
Ujjwal Arora,ibreHealth,Practice Appointment Calendar for LibreHealth EHR
Valeria Vasylieva,heckstyle,Practice What You Preach
Indraneil Paul,reen Navigation,Prediction of Energy Consumption of Electric Vehicles
Anirudh M,aiku,Preferences GUI Refactoring
Siddhant Bajaj,penSUSE,Printable tickets & better check-in process for OSEM
Sara Di Bartolomeo,he Processing Foundation,Processing for Android: Cardboard Mode Demo
Ce Gao,he Processing Foundation,Processing.R
Andrew Hill,he Java Pathfinder Team,Program Repair via Symbolic Execution-Derived Constraint Characterization
Cristian Baldi,DE,Progressive Web App for WikiToLearn
NunoLopes,oomla,Project IX: Expand the Extension Manager
Altay Adademir,oomla,Project IX: Expanding the Extension Manager.
Chanaka De Silva,"enes, Genomes and Variation","Project Proposal Ensembl Track Database Mentors : Andy Yates, Stephen Trevanion"
Venkata,omputational Biology @ University of Nebraska-Lincoln,Project Proposal-Javascript/WebGL Library For Interactive Visualization Of Large-Scale Network Graphs.
Dongge Liu,erkman Klein Center for Internet and Society at Harvard University,Project Proposal: Implement topic creation using machine learning
Jan Jaracz,oomla,Project VI: Publishing Workflow in Joomla!
Shivam Rajput,oomla,PROJECT XI: REFACTORING THE HELP SCREENS LOCALISED ON JDOCS AND SERVED IN THE JOOMLA! BACKEND THROUGH THE HELP SERVER TO MAKE THEM MORE MANAGEABLE BY VOLUNTEERS
Ricardo Fusco,oomla,Project XIII - PR Testing Platform
Ronak Jain,erformance Co-Pilot,Prometheus Metric Exporter / Importer
Brij,MU Sphinx,Pronunciation Intelligibility Remediation with Pocketsphinx.js
Antide Petit,adare2,Proper Windows platform support
Xin Wen,rescobaldi,Proposal for Add Support for Version Control (Git)
magdalenesuo,OSSASIA,Proposal for Open Event project under FOSSASIA
Olivier Gasuleg,he GNU Project,Proposal GNU Ring project Olivier Grégoire
kajoj,he Honeynet Project,Proposal to the Honeynet Project.
Nikolaos Filippakis,he Honeynet Project,Protocol and adversary identification in Go
yasharmaster,pen Genome Informatics,Prototype a new RESTful API querying Neo4j database
Padmal,OSSASIA,PSLab - Android/Firmware/Hardware
dkocich,penStreetMap,Public transport - Web editor for public transport routes
Antonio Ramos de Torres,NSS-SDR,Pulsed and continuous wave radio frequency interferences mitigation: application to GNSS-SDR in low Signal to Noise ratio scenarios
aleks_,ython Software Foundation,PySAL: Explicitly spatial unsupervised learning (regionalization)
Shivam Negi,umFOCUS,Python and Julia Interface for Data Retriever
Madhawa Vidanapathirana,SO2,Python API for Siddhi CEP
Diptanshu Jamgade,CExtractor Development,Python Bindings for CCextractor proposal by Diptanshu Jamgade
gandalf3,lender Foundation,Python Package Manager
Gleb Mishchenko,ppleseedhq,Python scripting feature for appleseed.studio
Kevin Stadler,SGeo,QGIS Web API and remote control Plugin (for Notebook integration)
Rithvik Patibandla,he Linux Foundation,Qt based Common Print Dialog
Dimitar Dobrev,ono Project,QtSharp - Mono/.NET bindings for Qt
Amitosh Swain Mahapatra,ree and Open Source Silicon Foundation,Quality metrics for projects listed on LibreCores.org
Andrew Morgan,ubes OS,Qubes MIME Handlers
Kavindi,ustainable Computing Research Group ( SCoRe ),Query parser for Senze language
Vamsi Sangam,EAMMATES @ National University of Singapore,Questions+
ivange94,ibreHealth,Radiology Reporting Enhancements Continuation
Ritwick DSouza,penWISP,Raspbian backend for OpenWISP 2
Malitha Humayun Kabir,pen Chemistry,RDKIt - 3Dmol.js integration
Lakshay Nagpal,"tony Brook University, Biomedical Informatics",RDMA-SparkGIS
Denis Blank,TE||AR Group,Re-implementing hpx::util::unwrapped and unifying the API of hpx::wait and hpx::when
Alexander Shaposhnikov,eactOS,ReactOS App Manager
Vaibhav Gupta (vg3095),ython Software Foundation,Reading Simulation from file
Marcel Meier,nstitute for Artificial Intelligence,Realistic Grasping using Unreal Engine
Amritpal Singh,RL-CAD,Rebar Addon for FreeCAD
Joel Mason,he Julia Language,Rebuilding Interact.jl with WebIO.jl
Pau Rodríguez,penCV,Recurrent Neural Networks on tiny-dnn
Alice Chung,he Processing Foundation,Redesign Friendly Debugger for p5.js
brickbit,oboComp,Redesign of Learnbot to improve its features and functionalities
Assain K C,uby on Rails,Refactor Rails' Cookie Implementation and Improve Signing with Expiry and Purpose
Thomas Hirsch,atrobat,Refactoring – Reimplementing all UI tests in Espresso
thmq,atrobat,Refactoring/Redesigning Pocket Code
Liangchen Luo,heckstyle,Regression Testing Tool and HTML Report Generator for Pull Request
Andrzej Sołtysik,cala,Reimplement the JDK in Scala Native
Shangtong Zhang,lpack,Reinforcement Learning Framework
Srimanta Barua,adare2,Remote debugging with gdbserver
Varun Dhall,ibreOffice,Replace EditEngine binary clipboard with ODF filter
Taras Sakharchuk,EAMMATES @ National University of Singapore,Reports enhancement
Xiao Meng,enodo,Research Data Metadata Extraction
vel0city,BMC Foundation,RetroPlayer Improvements
ange,reifunk,RetroShare Improvements
Mohamed Ahmed thabet,iled,Reusable Object Templates
Ania Bui,penSUSE,Revamp Jangouts User Interface
Muhammet Kara,ibreOffice,Revamp the Customization Dialog
Ira Lun,ython Software Foundation,Rework and fix WebOb’s handling of HTTP Accept headers
Madhawa Gunasekara,pache Software Foundation,Rewrite Cassandra Module in Apache Gora to support CQL
Vidhan Jain,SGeo,Rewrite for Turn Restricted Shortest Path Algorithm in PgRouting
Pasan Ranathunga,ustainable Computing Research Group ( SCoRe ),Rewriting OpenDF frontend using React
Sahana Prasad,he Libreswan Project,RFC-7427 Signature Authentication support to IKEv2 for Libreswan
Houmin,he GNU Project,Ring - Create a C++ plugin for Ring
asalman,he GNU Project,Ring: NodeJS Plugin for Seamless Cross-platform Client Development
Benjamin Landers,owRISC,RISC-V Simulator for education
Xin Chen, project for statistical computing,Risk and Performance Measure Standard Errors for Serially Correlated Returns
Bhavesh Narra,ational Resource for Network Biology (NRNB),Roadmap to create a WebApp for the Enrichment Map Using Cytoscape and RESTful services
Shashanka Joisa,NSS-SDR,Robust KF-based Tracking Techniques for Advanced GNSS Receivers
Lucas Woo,ocket.Chat,Rocket.Chat iOS SDK
Pankaj Baranwal,MU Sphinx,ROS Integration for pocketsphinx
Yilong Li,nstitute for Artificial Intelligence,ROS with PR2 integration in Unreal Engine
Francesco Guardiani,clipse Vert.x,Router Factory for Design Driven Web API Development
Pavel Danilov,reen Navigation,Routing server
Abdullah Javed Nesar,ymPy,Rubi Integrator
Arihant Parsoya,ymPy,Rule Based Integration Module for SymPy
Igor Matuszewski,ozilla,Rust Language Server (RLS)
Emma,DE,Rust support for KDevelop
Luke Jones,NOME,Rustify GJS
Sebastian Quilter,rduPilot,Safe Return-To-Launch for ArduPilot
Dimitrios Gravanis,amba,SAMBA libcli/dns participation
Javier Calvo García,iquid Galaxy Project,SAVT (Smart Agro Visualization Tool)
Zeeshan Khan,ugar Labs,Say no to Gtk2
Shubham Agarwal-1,EcAn Project,Scientific Visualization Project for PEcAn
Vindula Jayawardana,SO2,SCIM 2.0 Compliance Test Suite
Antônio Horta Ribeiro,ython Software Foundation,Scipy: Large-scale Constrained Optimization
Sarthak Madaan,ython Software Foundation,Scrapinghub (dateparser) : Integrate unicode CLDR database with dateparser
Elena Zakharova,ython Software Foundation,ScrapingHub: adding the support for finding and parsing dates in the large texts to dateparser
Parth-Vader,ython Software Foundation,Scrapy benchmarking suite
Sebastian Witt,lender Foundation,Sculpting Tool Improvements
Pranav Ganorkar,NOME,Search and User Interface Improvements in GNOME Logs
Timo Martikainen,etaBrainz Foundation Inc.,Search for Entities
Vizaxo,ovingBlocks,Sectors
Semih Serhat Karakaya,wnCloud,Security App
Dilpreet,ifos Initiative,Self Service app Version 2.0
Raunak Sett,ifos Initiative,Self Service Web App
Kumaranath Fernando,ifos Initiative,Self Service –USSD Application
Vladimir Fomene,ifos Initiative,Self-Service - Android App Version 2.0
twk,ozilla,SemVer compatibility tool
Miguel Arroyo,rduPilot,Sensor Head Port
Nayeem Aquib,ed Hen Lab,Sentiment Analysis of Social Media Data
Samuel Borms, project for statistical computing,Sentometrics: An integrated framework for text based multivariate time series modeling and forecasting
Anna Mukharram,eam Community,Server-to-Server Stream Management Support for ejabberd
Connor Brewster,ozilla,Servo Custom Element Proposal
Abdeselam El-Haman,opyleft Games,Shadow Rendering
Ekta Nandwani,NOME,Sharing of shopping list in Recipes App
Giovanni De Toni,hogun Machine Learning Toolbox,Shogun Detox II: Codebase improvements and finalization of the new Tags and Serialization frameworks.
Achint Sharma,OSSASIA,Show loklak search results as auto-refreshing media wall
Nadun De Silva,SO2,Siddhi Extension Doc Auto Generation
Malith Withanage Don,2°North Initiative for Geospatial Open Source Software GmbH,Simple Features for protobuf and others
Bill Engels,umFOCUS,Single Precision Support and Gaussian Process Functionality
Jay Krishna,erospaceResearch.net,SiqNAL: Fast CubeSat tracking using IQ stream data
Siddhesh Rane,pache Software Foundation,SIS JavaFX Front End
Yogesh Sharma,ppia Foundation,SiteWide ACL Refactor
Trevor Sibanda,cala,Slick bug and feature hunt
Simei YIN,cummVM,Sludge Engine
Somesh Singh,ERN-HSF,Smart Data Structures in CUDA
Jia Rui Ong,reen Navigation,Smart Range Viewer
Vlad Niculescu,pertus Association,Smart Switching Regulator
Spandan Kumar Sahu,eph,SMARTER REWEIGHT BY UTILISATION
Savidu Dias,hysical Web Project,Smartphone Auto Settings Project
Nilesh Prasad,ibreHealth,Smarty Template Engine Removal and UI Redevelopment
Shivansh Rai,reeBSD,Smoke testing of all base utilities
Ravinder Nehra,he Honeynet Project,SNARE/TANNER
Jeferson Lesbão Siqueira,uaRocks,Social Enhancements for LuaRocks
Yohan M R,oboComp,Social Navigation with RoboComp
Araceli Vega Magro,oboComp,Social navigation with Robocomp​
Jacob Lifshay,.Org Foundation,Software Renderer for Vulkan
Ximeng Zu,ibreOffice,Solving Most Annoying Bugs for LibreOffice Android Viewer
Naveen Saini,eagleBoard.org Foundation,Sonic Anemometer using PRU and PRUDAQ
Ondřej Pešek,SGeo,SOS tools in GRASS GIS
Binxiang Ni, project for statistical computing,Sparse matrix automatic conversion in RcppArmadillo
Charles Pletcher,lassical Language Toolkit,Speaking of Comments: Annotations as a Springboard for Discussion
Nicolas Andres Pace,reifunk,Spectrum Analyzer
Rover Van, project for statistical computing,Speed optimizations for iregnet
Aldo Camargo,NCF,"Speeding up functional network analysis on fMRI data with distributed, in-memory computation using Apache Spark"
vlad107,OSSIE - Australian Open Source Software Innovation and Education,"Speeding up the existing theorem prover, using Conflict Resolution calculus"
Jiri Horner,penCV,Speeding-up AKAZE features
Vasudha,DE,Stabilize and ship Ruqola
Pasan Gamaetige,ustainable Computing Research Group ( SCoRe ),Stackle
Ayushya Chitransh,pen Genome Informatics,Stand-alone Reactome server in a Docker image
bsir,BioPortal for Cancer Genomics,Standardizing clinical data from cBioPortal to for easier comparison and analysis
Aryaman Vinchhi,useScore,Start-Up Wizard for MuseScore
Jarvis Miller,ython Software Foundation,Statsmodels: Survey methods and adding weights to existing methods
Arpit Agarwal,"enes, Genomes and Variation",Strain Differential
Mukul Kumar,ozilla,Streams API in PDF.js
Amar Prakash Pandey,EAMMATES @ National University of Singapore,Student Data UI upgrade
Sagar Kohli,ython Software Foundation,Sub org: Peragro :- Implementation of plug-in for audio feature extraction.
Rishabh Thaney,ugar Labs,Sugar on Raspbery Pi
Tarun Kumar Singhal,ugar Labs,Sugarizer Server Dashboard
Punyaslok Pattnaik,penAstronomy,"Sun, Right now!"
Duygu Keşkek,penAstronomy,SunPy Website Improvements
Seokchan Ahn,pache Software Foundation,Support advanced features of resource managers
Orestis Floros,ntel Media and Audio for Linux,Support for decoding MVC/SVC base views/layers in the H264 decoder of gstreamer-vaapi
Prashant Kumar,xWidgets,Support multi-touch gestures
Thejan Wijesinghe,pache Software Foundation,Supporting Image-to-Text (Image Captioning) in Tika for Image MIME Types
Madhav Rathi,OSSASIA,SUSI
Amit Tiwary,OSSASIA,SUSI Android
Dravit Lochan Gupta,OSSASIA,SUSI.AI
Chetan Kaushik,OSSASIA,SUSI.AI
Saurabh Jain,OSSASIA,SUSI.AI- Artificial Intelligence for Chat Bots
Alexandru-Daniel Roman,nkscape,SVG 2 Text Support
Abhishek Sehgal,ortland State University,SVG Digital Halftoning
Aditi Gupta,"ysters, an Anita Borg Institute community",Systers Features for Mailman 3
Oleksandr Zaytsev,haro Consortium,Tabular Data Structures for Data Analysis
Shriraj Sawant,eactOS,Taskbar Shell Extensions for ReactOS
Ayush Agrawal,aiku,TCP optimization and fine tuning
Raúl Pérula-Martínez,deRobot - Universidad Rey Juan Carlos,Teaching Robotics: Translation of a Scratch program to ROS python components
Alexey Kapustin,DE,Telemetry for getting statistics for which features are used the most in Krita
Jin XIA,ovingBlocks,Telemetry System for Terasology
Tyler Thompson,ovingBlocks,Terasology Scenario Creation
Vijay Krishnavanshi,DE,Testing interface for Kopete and Improvement of protocol support
Kuan Wang,penCV,The Fast Bilateral Solver
Amritanshu Jain,2PSP.org,The P2PSP virtual room application
weijie Lin,hogun Machine Learning Toolbox,The Shogun Detox2
Luca Virgili,Bpedia,The table extractor
Mohammed Affan,ython Software Foundation,Theano:Add more convolution operations and update meta-optimizer
Charles Saternos,LVM Compiler Infrastructure,ThinLTO Optimizations
Earo Wang, project for statistical computing,Tidy data structures and visual methods to support exploration of big temporal-context data
Tayba Wasim,ugar Labs,Timbre Widget for Music Blocks
Haroon Rashid,ython Software Foundation,Timelab Technologies : A library of Time Series Methods
Ren Kimura,adare2,Timeless Debugging Support
Joshua Bonn,useScore,Timeline Navigator
Naman Gupta,ocket.Chat,To Create a PWA Client
Rohit Kaushik,NOME,To Do: Todoist integration
saru95,hapel,To write a new cryptography module for Chapel that provides an interface to standard cryptography libraries that support common algorithms.
Jonas Schell,eeWare Project,Toga Settings API and Inward Facing Testing API
Yousaf,nstitute for Artificial Intelligence,Topic 3: ROS with PR2 integration in Unreal Engine
AEtherC0r3,OSDEM,Track proposals and scheduling workflow
Saumya Suvarna,reen Navigation,Traffic avoidance and prediction of energy consumption of electric vehicles with real time notification system
Parul Sethi,umFOCUS,Training and Topic Visualizations
Rishi Rajasekaran,MU Sphinx,Transcriber Qualification
Akhil Kamath,CSC Xena,Transcript Centric View
Galina Shalygina,ariaDB,Transformation of IN predicate into IN subquery based on implementation of table value constructor
Abhinav Shukla,CExtractor Development,TV Commercial Classification and Optimization of Visual Recognition Pipeline for News Videos (For Red Hen)
DanPop,NCF,TVB-Modernize visualizers
Aleksandar Ivanov,ifos Initiative,Two-Factor Authentication for Mifos
maryszmary,pertium,UD-annotatrix
arkokoley,erkman Klein Center for Internet and Society at Harvard University,UI Improvements and Testing suite for Book-A-Nook
Julian W.,he Eclipse Foundation,UI Modernisation (Developer Statistics)
Erick Guan,iscourse,Unicode username and search improvements
Victor Hertel,erospaceResearch.net,Universal Space Operations Center
Shashank Motepalli,Bpedia,Unsupervised Learning of DBpedia Taxonomy
Bohdan Sharipov,hecker Framework,Update to newer version of JavaParser
Dong-hee Na,ERN-HSF,Updating gopy to support Python3 and PyPy
Vinay Sajjanapu,OSSASIA,Updating Phimp.me Image Application
kritik bhimani,ree and Open Source Silicon Foundation,Updating Sodor
Hirday Gupta,EAMMATES @ National University of Singapore,Usability Hero+ Project
Akshay Deep,ibreOffice,Usability of Special Characters
Kyle Robbertze,imVideos,USB Sound Capture
Rama Teja Gampa,eactOS,USBXHCI driver for USB 3.x controllers
Dinuka Tharangi,ugar Labs,User Manual for Music Blocks
rot256,he Linux Foundation,Userland implementation of WireGuard in Golang
Dima Savin,ERN-HSF,Using Pseudo-random number repeatably in a fine-grain multithreaded simulation
Denis Obrezkov,TEMS Project,Utilizing full power of RISC-V architecture via usage of RTEMS on top of SiFive FE310 processors
Lingjie Zhu,he CGAL Project,Variational Shape Approximation
Amila Silva,lobal Alliance for Genomics and Health,VCF Streaming API Server and Specification
Nicolas Jeannerod,he Java Pathfinder Team,Verification and Testing of Heap-based Programs with Symbolic PathFinder
Marko Mohsen Younan,ideoLAN,Videolan application updater
Shruti Jasoria,ozilla,View Details of Performance Test Results on Perfherder
Nathan Gauër,EMU,Virgl Windows driver
sidkothiyal,erospaceResearch.net,VisMa – A visual equation solver
Liancheng Jia,IT App Inventor,Visualization components for App Inventor
Arushee Garg,"rban Energy Systems Laboratory, Empa",Visualization Dashboard for Empa-NEST using node-red
Soumyadip Ghosh,"rban Energy Systems Laboratory, Empa",Visualization Module for the Ehub Modeling Tool
Qiyi Tang,he Java Pathfinder Team,Visualization of Execution Traces
Manohar Karigerasi,pen Chemistry,Visualization of MD trajectory files using Google cardboard
Pamela Wu,BioPortal for Cancer Genomics,Visualizing circulating tumor DNA results in the cBioPortal patient view
ToddShepard,ideoLAN,VLC crashes server
Ashish Pratap Singh,Fmpeg,VMAF video filter
Artem Bishev,ppleseedhq,Volume Rendering
Tyler Jones,Fmpeg,Vorbis Encoder Improvements
Teógenes Moura,ortland State University,VoteChain
Ilia Valiakhmetov,Fmpeg,VP9 decoder improvements
Ben Trotter,iled,"Wang Tiles, and Filling Improvements"
Xin Wang,LVM Compiler Infrastructure,Warn if virtual calls are made from constructors or destructors
Philipp Kerling,BMC Foundation,Wayland support
Kate Hollenbach,he Processing Foundation,Web GL improvements for p5.js
Mohamed Karam,oomla,Web-Services in Joomla 4
Akash Rawal,he GNU Project,wget2 - Design and implementation of a framework for plugins
Felipe R. Monteiro,hecker Framework,Whole-Program Inference
Ashan Priyadarshana,ublic Lab,Wiki Discussion
Guillem Barbosa,iquid Galaxy Project,Wikimedia Data Liquid Galaxy
jcbwndsr,ational Resource for Network Biology (NRNB),WikiPathways Pathway Presenter
Krishh,Bpedia,Wikipedia List-Extractor
Antonis Maronikolakis,imacode,Work on AIMA-Python
Ajai George,TE||AR Group,Work on Parallel Algorithms
taeguk,TE||AR Group,Work on Parallel Algorithms for HPX
Hy Che,aiku,Write supports for BTRFS
Jose Lorenzo,xWidgets,wxWebView JavaScript Integration
Rui Shi,cilab,Xcos Profiler
Zhongze Liu,en Project,Xen: share memory areas among VMs from the config file
Ujjwal Bhardwaj,OSSASIA,Yaydoc - An automated documentation generator
Priyam Singh,OSSASIA,Yaydoc - Build and Push documentation easily
balaji r,OSSASIA,Yaydoc - Build and Push documentation easily
jainaman224,enodo,Zenodo Research Profile
Zhongyi Tong,ulip,Zulip Electron
kunall17,ulip,Zulip Mobile Enhancement
Gianfranco Fronteddu,pertium,“Proposal apertium cat-srd and ita-srd”
